Country,Country Classification,Industry,Technology,Dimensions,Customer-Provider,Challenges
India,Developing,Manufacturing Industry,Industry 4.0 in general,"Financial risks,Operational risks,Technological risk,Business risk,Societal and
environmental risks,Supply chain risks,Cybersecurity risk",No,"Financial risks
-High investments
-Personnel costs
-Long and uncertain amortisation
-Too late investments
-Risk of obsolescence of an
investment in technology
-Unclear economic benefit
-Risk of false investments
-A decision in what to
invest when

Operational risks
-Maintenance
-Technological risk
-Higher complexity
-Low awareness
-Industrial espionage
-Redesign of facility layout
-Inadequate qualification
of employees
-Restrictions by employees'
representatives
-Sabotage by employees
-Internal resistance and
corporate culture
-Shifts of competencies
-Manufacturing process
management-based risk
-Operation method and
tool-based risks
-Denial-of-Service (DoS)
-Infrastructure
shortcomings
-Lack of expertise
-Organisational risk
-Fear of employees | Technical Risks

""Low degree of maturity of I4.0 technologies""
""Technical integration""
""Lacking standards/international standards differ""
""Increasing dependence on technology""
""Retrofitting""
""IT-interface problems""
""Availability of fast internet""
""Communication between devices""
""Lack of decision logic""
""Stability of internet-based communication""
""Availability of adequate IT Infrastructure""
""Increased system maintenance/incompatibilities""
""Lacking understanding of data-driven business models""
""Infrastructure shortcomings/network congestions"" | Business Risks

""Losing a competitive advantage""
""Transformation of business models""
""Loss of core competencies""
""Power shifts""
""Transparency of data can be misused""
""Diminishing barriers to market entrance""
""Theft of industrial trade secrets and intellectual property""
""Dependence on technology providers""
""Short-term strategy"" | nan"
India,Developing,Manufacturing Supply chain,Industry 4.0 in general,"Lack of awareness(LAW), Lack of skilled workforce and digital environment (LSW), Lack of physical and IT infrastructure(LI), Lack of competency and motivation(LCM), Lack of government support and incentives (LGS), Lack of sustainable practices (LCP), Lack of effective policy and protocol (LPP), Lack of acceptance(LA), Lack of circular design aspect(LCD), Fear of change of culture (FCC)",No,"•Lack of awareness(LAW): Unclear beneﬁt, low understanding, the poor vision of the organization, low awareness of sustainable raw material, awareness of farmers
•Lack of generalized framework (LGF):
Global standards, protocols, integrated platforms, no universal consensus

•Lack of skilled workforce and digital environment (LSW):
Skilled workforce, Digital culture, Language barriers, process digitalization

•Lack of physical and IT infrastructure(LI):
Sensor integration, infrastructure standardization, interface platform, compatibility issues

•Lack of competency and motivation(LCM):
Competitiveness, capability, fewer priorities to CE practices

•Lack of government support and incentives (LGS):
Legal issues, collaboration issues, unavailability ofﬁnancial support, low price of virgin material

•Lack of sustainable practices (LCP):
Lack of compliance, sustainability regulation

• Lack of effective policy and protocol (LPP):
Semantic interoperability issues, a policy that supports CE tra | ack of acceptance (LA):
""High investment cost, sustainability adoption cost, security issues, fear to lose business during the transformation phase, trust issues."" O alto custo de investimento e a ausência de exemplos reais de viabilidade financeira, além de problemas de segurança, reduzem a taxa de aceitação​
.
Lack of circular design aspect (LCD):
""Eco-innovation, eco-design, eco-efficient technologies."" A falta de design de produtos com aspectos de redesenho, remanufatura, regeneração e restauração para desenvolver modelos de negócios circulares devido à tecnologia ineficiente e à ausência de digitalização | Fear of change of culture (FCC):
""Producer and consumers culture."" Agricultores têm receio de mudanças. Por serem financeiramente instáveis, a modernização e questões ambientais não estão em suas prioridades | nan"
Developed countries,Developed,"Manufacturing Industry, Medical Manufacturing, Various",Additive Manufacturing,,No,"1-Lack of Understanding and Expertise in AM
2-Absence of Standardisation and Guidelines
3-Cybersecurity Threats:
4-qualidade e confiabilidade da tecnologia | nan | nan | nan"
Italy,Developed,Manufacturing Industry,Industry 4.0 in general,Not mentioned,No,"Investment cost,
 The scarce availability of internal resources and the difficulty of evaluating opportunities, 
Poor knowledge of possible business solutions and technologies offered by the market
,  The difficult identification of competent external partners, 
The lack of knowledge of fiscal and economic incentives, 
The lack of maturity of the technological solutions offered by the market | nan | nan | nan"
Developing Countries,Developing,Manufacturing Industry,IOT & Cyber-physical systems,Not defined,No,"standardization of the infrastructure (B1), 
virtualization of the automation system (B2),
 quality of the data (B3), 
adaptability (B4),
customer preferences (B5), 
sensor technology (B6), 
development of smart devices (B7), 
upgradability (B8), 
semantic interoperability (B9),
financial risk (B10),
 compatibility (B11),
 government support (B12), 
in­vestment cost (B13),
 eco-efficiency of the process (B14),
 cyber-physical systems (B15), 
customer behavior (B16), 
digitization of process (B17),
fog networking (B18), 
coordination and collaboration (B19), 
systems interface (B20), 
network security (B21), 
and cyber-physical systems and standardization and integration (B22). | nan | nan | nan"
India,Developing,Manufacturing Supply chain,Industry 4.0 in general,"Technology, Organizational, Environment, Social, Economic",No,"•Technology:
-Compatibility Issues (B1): Firms usually lack skills in handling issues related to compatibility between existing
and new systems.
-Lack of infrastructure and internet-based networks (B2): Poor internet connectivity and lack of related infrastructure are imperative impediments to Industry 4.0 and sustainable practices.
-Data security and data protection (B3): Industry 4.0 has integral data security-related vulnerabilities (phishing attacks and the stolen of privileged credentials), which can be exploited, resulting in mass data exposure.
-Lack of standards and reference architectures (B4): There exists a lack of global standards, data sharing protocols, inconsistency in software incompatibility, and manufacturing-speciﬁc reference architecture for Industry 4.0.
•Org
Lack of futuristic outlook (B7): ""Industry 4.0 is a digital transformation, where if firms fail to illustrate their vision, roadmaps, and strategy, then they will have to struggle when transforming these visio | -Lack of management dedication, commitment, and leadership (B5):  Senior management encouragement, involvement, and dedication to accept the changes are of prime importance to effectively diffuse Industry 4.0 and sustainability initiatives in manufacturing ﬁrms
Fear of success (B6): ""Industry 4.0 requires unknown duration for amortization, substantial investments, with an ambiguous success rate as well as profitability.""
Need for enhanced skills (B9): ""The implementation of Industry 4.0 demands employees to acquire new skills.""
Organizational and process changes (B10): ""The implementation of Industry 4.0 must be advocated at all organization levels, which may require the re-engineering or re-evaluation of commercial practices."" | Environmental
Lack of understanding among supply chain stakeholders (B11): ""Less exposure of the stakeholders to the benefits of Industry 4.0 and hence their resistance to adapt and change their practices.""
Need to develop environmental systems (B12): ""Firms not having proper management of environmental systems may lose clients who prefer sustainable products.""
Market uncertainty on the availability of green suppliers (B13): ""Uncertainty about the availability of sustainable products inhibits the development of demand, thereby slowing down the market of potential buyers.""
Lack of supplier’s flexibility to change towards sustainability (B14): ""If suppliers are rigid and do not share beneficial suggestions and innovative ideas, it can hamper the implementation of Industry 4.0."" | Social
Lack of customer’s awareness (B15): ""Customer awareness regarding materials used, products manufactured, the process followed, and machine functioning and their impact on the environment can pressurize the procurement department towards complying with sustainable practices.""
Managing employee anxiety (B16): ""Implementation of Industry 4.0 will require the manufacturing firm to manage employee anxiety and unrest.""
Employment disruptions (B17): ""The fear in the mind of the employee that the shift to Industry 4.0 will remove them from the job.""
Difficulty in identifying and managing socially sustainable suppliers (B18): ""Challenges in selecting suppliers following the social rules that include gender equality, labor laws, and community development."""
India,Developing,Construction material,Industry 4.0 in general,,No,"C1 - Heavy layoffs due to smart processes:
Advances in artificial intelligence and automated processes may lead to the replacement of human workers, especially in tasks such as excavation, grading, and site work.

C2 - Huge initial investment and maintenance costs:
Implementing the Industry 4.0 framework requires high initial investments in technical equipment, training, and infrastructure maintenance, discouraging construction companies from adopting the technology.

C3 - Need to prepare for a significant organizational and process change:
The construction value chain is fragmented, involving various participants from diverse backgrounds, which makes implementing the Industry 4.0 framework difficult.

C4 - Requirement to attain advanced technical skills:
The integration of Industry 4.0 requires advanced technical skills, which are often scarce in the construction sector.

C5 - Need to establish a strong information collection, distribution, use, and management mechanism:
Due to the sc | C6 Lack of management support
C7 The problem in hiring qualiﬁed professionals, especially at the
ground level
C8 Reluctance and apprehensions to resort to change in
technology
C9 Need to establish research and development facilities
C10 Educating higher management particularly experienced
professionals about the technological change
C11 Providing contractors and sub-contractors the necessary
skills and understanding of the process | C12 Recruitment of skilled personnel to impart necessary
knowledge and training to the employees
C13 Non-seriousness to adopt the new concepts in technology
C14 Unclear about the economic beneﬁts of IoT-enabled
framework
C15 Getting a common consensus on the adoption of new
technology from the employees and management
C16 Unclear comprehensibility of the advantages of IoT
C17 Disruptions in the compensation policies | C18 Proper internet connectivity and other IT facilities.
C19 Uncertain impact on working life.
C20 Safety issues arising due to manhandling of devices
C21 Increased protection of sensitive devices from dust and
pollutants present on-site.
C22 Need to establish a reliable and stable machine-to-machine
communication network
C23 Need to ensure proper monitoring, inspection, and validation
of services in the production of key assets.
C24 Lack of regulation, standards, and certiﬁcations.
C25 Legal barriers"
India,Developing,Automotive Sector,Industry 4.0 in general,"Manufacturing Management (MM), Manufacturing Strategy (MS), Manufacturing Technology (MT), Workforce & Organizational Management (OM)",No,"• Manufacturing Management (MM) :
Poor management commitment for adoption of sustainability (MM1)
Immaturity of industry standards around IoT (MM2)
Employee training for I4.0 (MM3)
Aging society (MM4)
Resource efficient and clean urban production (MM5)
Volatile markets (MM6)
Shorter product life cycle (MM7)
Cost reduction pressure (MM8)
High level of customization of the techniques for in situ measurements (MM9)
•Manufacturing Strategy (MS)
Energy efficient CPS (MS1)
Competitiveness and future viability (MS2)
Design complexity for energy consumption reduction (MS3)
Environmental side-effects (MS4)
Lack of strategy towards I4.0 (MS5)
Customization of mass products (MS6)
Modularization and servification of CPS (MS7)
and Modelling (MS8)
Complexity in reconfiguring of production pattern (MS9)
• Manufacturing Technology (MT)
Real-time link of physical production and digital factory (MT1)
Context-adaptive and autonomous systems (MT2) | Transformation of CPS data and information analytics to actionable knowledge (MT3)
Coexistence and interoperability (MT4)
Computational ability (MT5)
Fault Tolerance ability (MT6)
Acquisition of Automation Data (MT7)
Data Transformation (MT8)
Low-cost smart sensing system development (MT9)
•  Workforce & Organizational Management (OM)
Organizational and production fit (WOM1)
Cooperative production systems (WOM2)
Maintaining the security of the applications and users’ privacy (WOM3)
Seamless internet facility (WOM4) 
Lack of technological infrastructure (WOM5)
Human-machine symbiosis (WOM6)
Real-time performance in dynamic
environments (WOM7)
Job opportunity (WOM8)
High costs of required investment in IoT infrastructure (WOM9) | nan | nan"
Poland,Developed,Manufacturing Industry,Industry 4.0 in general,,Yes,"Lack of funding.
Fear of failed implementation.
Unclear economic benefits.
User resistance to specific Industry 4.0 solutions.
Limited employee qualifications | nan | nan | nan"
Italy,Developed,Manufacturing Industry,Augmented & Virtual Reality,,No,"Interoperability Issues: “The number of connected and interconnected devices is growing enormously. The main consequence is that the amount of data and information to be collected, processed, organized, managed, exchanged is always greater. Enabling interoperability between different systems and organizing knowledge appropriately means deriving enormous value from this trend.”
Limited Reusability of MR Applications: “Many MR-applications are strongly linked to the domain, within which they were originally developed. This happens mainly due to the use of too specific data models, but also and above all due to low levels of interoperability, which make difficult to connect each MR-application with several systems.” | Data Accessibility and Findability: “There is a need for solutions capable of guaranteeing the correct organization and structuring of data and information to increase accessibility and findability by the smart operator, and therefore improve his/her performance on the shop floor.”
Lack of General-Purpose Architectures: “Overall, the scope of the vast majority of the architectural models proposed in the literature is application-specific. There is a lack of generic, ontology-based, Industry 4.0-ready models.” | nan | nan"
Switzerland,Developed,Sanitary manufacturing,Condition Monitoring,not mentioned,No,User resistance/acceptance | nan | nan | nan
China,Developing,Manufacturing Industry,"AI, Big Data, Cloud & Edge Computing, IOT & Cyber-physical systems, Information & Communication Technologies",not mentioned,No,"Smarter Devices in Customized Manufacturing: In a CM environment, the equipment does not only perform the basic functions of automation but also needs capabilities like data storage, logical inference, and preventive maintenance.

Efficient Information Interaction: ""Efficient information exchange between manufacturing components, which is complicated by device heterogeneity and increased communication demands... meeting diverse latency requirements""

Practical Deployment and Knowledge Transfer: ""Technology transfer from research institutions to enterprises involves many nontechnical factors, such as market analysis, intellectual property management, technical invention protection, and commercialization""​ | nan | nan | nan"
Australia,Developed,Manufacturing Industry,"AI, Big Data, IOT & Cyber-physical systems",,No,"Desafios relacionados à qualidade dos dados:

""The raw data from IoT devices suffer from low-quality issues due to hardware imperfections or unreliable wireless transmissions, possibly leading to inaccurate analytics.""

""The data from massive multisource and densely distributed sensors are likely to be redundant and even contradictory.""

""In real industrial settings, the generated high-frequency data flows in a streaming fashion, which is impractical for fine-grained manual labeling.""

Desafios relacionados ao volume e complexidade dos dados:

""As huge volumes of data are becoming available at a rapid rate in digital industries, an efficient data ingestion method is a prerequisite for further data monitoring, analytics, and modeling.""

""In a real industry setting, IoT connected sensor data are gathered in an unstructured format and are high in volume, large in size and dimensions, with a large amount of noise, and constantly changing patterns due to changes in the environment and senso | Desafios relacionados à integração de sistemas:

""From a global perspective, an integrated system is needed to undertake data ingestion, management, security, and cloud computing-based data analytics for real-time processing.""

""Instead of a simple concatenation, the integration of heterogeneous layers, methods and tools has to be addressed in an appropriate way. In this sense, all the elements need to be compatible with each other and work properly across the whole system.""

Desafios relacionados à escalabilidade e processamento distribuído:

""Most machine learning techniques and opensource packages are not feasible in terms of scalability, ease of use, extensibility, and generalization ability when faced with the issues of big data.""

""It is critical to develop new types of distributed processing systems for IoT big data."" | Desafios relacionados à detecção de ruído e anomalias:

""Noise detection for the equipment health state monitoring of intelligent manufacturing is expected to detect noise while retaining information on anomalies.""

""Handling noise in the presence of significant anomalies is more difficult, as noise and anomalies both belong to outliers and the boundary between them is not easy to define."" | Desafios relacionados à atualização e manutenção dos modelos:

""The trained PCA model and the involved thresholds need periodical necessary updates due to equipment degradation which would lead to an aging trend in the predictive modeling phase.""

""When a sensor is replaced, the update operations are extremely important.""

Desafios relacionados à implementação prática em ambientes industriais:

""Most existing systems only involve the most essential elements and do not cover every functionality that a real industrial implementation would need, such as massive and differentiated data preprocessing. Therefore, they are not complete or practical enough to be deployed in real industrial settings."""
Norway,Developed,Manufacturing Industry,Information & Communication Technologies,not mentioned,No,"•Trusting the system : 
compatibility with existing system 
speed and stability of networks 
System access and Data security
•Understanding the benefits
putting the old tools away
Effect measures, ROI and business cases
Return of investment
•Perspective of economics
Budget change
economic conditions
•Learning to manage scope
Large-scale implementation and training
Managing user feedbacks | nan | nan | nan"
England,Developed,Food and beverage manufacturing,"AI, Big Data, Cloud & Edge Computing, Condition Monitoring, IOT & Cyber-physical systems",not mentioned,No,"-particularity of each machine 
-Legacy infrastructure
-Many important parameters that can affect machine learning efficiency turning is slow (forcing a multi-dimensionality reduction) | nan | nan | nan"
France,Developed,"Ceramics manufacturing, Manufacturing Supply chain",Robotics,"Technical Challenges
Socio-Organizational Challenges",No,"Technical Challenges:
technological Limitations of Cobots:
""current technological limitations (cobot speed, adaptability, intention recognition, construction of workers-robots awareness)""

Safety and Maintenance:
""intrinsic protection measures (built-in safety functions, torque sensors)."" Any mishap could lead to ""collision, jamming, pinching or cutting"" incidents, necessitating careful design and testing​""

Socio-Organizational Challenges
Preservation of Knowledge and ""Know-How"": ""value of the knowledge and know-how used by the workers"" which must be ""conserved and supported"" during technical transformations to avoid degradation of work quality. This knowledge encompasses tactile and sensory expertise essential for high-quality production​ | Resistance to Organizational and Technical Transformations:

""Organizational or technical transformations may destabilize this knowledge and know-how and thus compromise production quality""​
.
Impact on Workers' Sensory Experience:

""The cobot enters into the intimacy of a human activity and changes the relationship with bodies and the material being worked on. This implicates a theoretical shift in the challenges related to the development of cobotics"" | nan | nan"
Developed countries,Developed,Manufacturing Industry,Augmented & Virtual Reality,,No,"Technological Challenges:
""The challenge of finding the correct balance between visual fidelity, performance, ease of use, and quick setup of the XR devices.""
""Ensuring XR compatibility with information systems and software.""
Organizational Challenges:
""Employee resistance toward adopting XR, especially from older employees, was identified as a crucial barrier.""
""The pitfall however is that management doesn’t free up time for the employees to delve deeper into this technology.""
""The employees were seen to need sufficient XR skills to operate the solutions independently.""
Environmental Challenges:
""Their stakeholders need to increase their skills and readiness to use XR.""
""The maturity of the XR vendor and training ecosystem was found to be an especially relevant environmental factor for SMEs."" | nan | nan | nan"
Global,Global,Various,"Cloud & Edge Computing, IOT & Cyber-physical systems",not mentioned,Yes,"Supervision and management, certiﬁcations
Deployment time
Scalability
Security and privacy
Vendor lock-in
high maintenance costs
Reliability
Latency
Complexity | nan | nan | nan"
United States,Developed,Automotive Sector,"Augmented & Virtual Reality, Digital Twin",,No,"High cost of advanced VR technologies
Limitations in sensory systems, particularly auditory and haptic systems.
Challenges in integrating  (motion tracking, data synchronization).
Insufficient technological maturity to create fully realistic experiences | nan | nan | nan"
Global,Global,Manufacturing Industry,Industry 4.0 in general,,No,"Lack of top management commitment,
Inadequate Training
Lack of IT infrastructure
Lack of Cyber Physical Systems
Unavailability of Funds
Non upgradation of Mechatronic systems
Longer learning cycles
Lack of Agility in Supply Chains
Stringent National Policies
Improper Communication Models | nan | nan | nan"
India,Developing,,Industry 4.0 in general,"•Environment (E) 
Systems/infrastructure
Regulatory framework
Standards for Quality 4.0
Interoperability and compliance

•Organization (O)
Skilled workforce
High level of investment
Transformation at organizational and processes level
Digital strategy
Quality 4.0 benefits and ROI
•Technology (T)
BDA tools and solutions
Data security and privacy
Adaptation of Quality Management System
Knowledge management infrastructure
Integration capabilities",Yes,"Need for a highly skilled workforce: ""Quality 4.0 requires data analytics, machine learning and artificial intelligence skills not commonly found in the traditional manufacturing workforce. Training and hiring skilled workers can also be costly and time-consuming, especially for small and medium-sized enterprises with limited resources""​

Need for high level of investment: ""Adopting Quality 4.0 requires significant investment in new technology, software and infrastructure. High investment in Quality 4.0 may limit adoption, especially for SMEs lacking financial resources""​

Need for agile transformation at the organizational and process level: ""Implementing Quality 4.0 requires dynamic reconfiguration at the organizational level and demands significant investment in new technologies, training and potentially rehiring. This transformation can pose considerable challenges for smaller organizations with limited resources. Additionally, data security and regulatory compliance complexities, | Lack of strategic alignment and management prioritization: ""Paramount among these is the absence of strategic alignment; the transition towards Quality 4.0 often fails to secure upper management’s prioritization, resulting in suboptimal resource allocation for requisite technological investments and skill augmentation""​

Technological complexity: ""The inception of Quality 4.0 brings forth significant technological challenges that hinder its widespread uptake in the manufacturing sector... Assimilating avant-garde technologies with archaic systems becomes a monumental challenge, demanding considerable capital infusion for infrastructural overhaul""​ | Economic instability and market uncertainties: ""Economic instability and market uncertainty frequently deter the capital-intensive outlays intrinsic to digital metamorphosis""

Lack of standards for Quality 4.0: ""The lack of standardized protocols leads to inefficiencies and inconsistencies due to poor levels of interoperability, data exchange and collaboration among stakeholders, hindering benchmarking and innovation""

Concerns about data security and privacy: ""Data security and privacy concerns hinder Quality 4.0 adoption due to increased vulnerability, regulatory compliance challenges, loss of trust, additional costs, complexity and trade-offs between functionality and security""​

Legacy system integration issues: ""The incompatibility of Quality 4.0 technology with legacy systems hinders adoption due to integration challenges, high costs, operational disruptions, resistance to change, limited functionality, data silos and delayed ROI""​ | nan"
developing countries,Developing,Manufacturing Supply chain,Industry 4.0 in general,"TBL (economic, environmental, social) dimensions and PPT (people, process, technology)",No,"B1 - Lack of technical expertise

B1.1: Lack of staff training.
B1.2: Lack of knowledge-sharing methodology and practices​

B2 - Cybersecurity issues
B2.1: Inadequate processes for monitoring and control.
B2.2: Weakness in cases of attacks and threats associated with the misuse of available information security technology​

B3 - Resistance to change, change management practices, and innovation adoption
B3.1: Lack of stimulus for innovation as a way to develop the company’s capacity.
B3.2: Lack of effective management and/or governance and compliance systems​.

B4 - Lack of investment in R&D
B4.1: Lack of financial conditions and/or organizational structure.
B4.2: Lack of top management support​

B5 - Costs of upgrading and economic condition of operations and supply chain management (OSCM)
B5.1: Wrong procedures or low level of reuse and recovery of products.
B5.2: Low prioritization in the selection and use of products, services, and companies with sustainable practices throughout the | B6 Lack of support from regulatory authority, weak legislation
B6.1 Low level of regulatory authority involvement and synergy with the company
B6.2 Limited or obsolete legislation associated with recurrent innovations inherent to technological advancement

B7 Lack of top management commitment
B7.1 Lack of encouragement for shared and collaborative management
B7.2 Lack of efficient communication, awareness campaigns

B8 Alternative resources and energy needs
B8.1 Lack of technical conditions or technological maturity for adequacy
B8.2 Lack of funds for investments in appropriate technologies | nan | nan"
India,Developing,Manufacturing Industry,Industry 4.0 in general,,Yes,"Infrastructure readiness (C-Q1): Firms may acquire real-time data on machine performance, energy
use and product quality with proper infrastructure. Data is sent to a
central platform for advanced analytics to detect patterns, optimize
production and predict errors. The company’s well-prepared
infrastructure improves efficiency, downtime and product quality
during its smart factory transformation. With an appropriate
infrastructure, an enterprise can track products in real time,
monitor environmental variables (temperature and humidity) and
record transactions on a blockchain. This transparency safeguards
quality and safety. Prompt action can be taken for quality or
discrepancies. Infrastructure readiness improves supply chain
reliability and accountability
Skilled workforce development (C-Q2): Highly skilled workers use IoT sensors and data tools to drive
Quality 4.0 in numerous areas. Skilled teams in pharmaceutical
quality assurance deploy digital systems and assure data
compliance, | Infrastructure readiness (C-Q1)
Skilled workforce development (C-Q2)
Organizational culture (C-Q3)
Change management (C-Q4)
Enabling technologies (C-Q5)
Government policies and support (C-Q6)
Collaboration and partnerships (C-Q7)
Leadership and management commitment (C-Q8)
Capacity building (C-Q9)
Customer centeredness (C-Q10)
Supplier centeredness (C-Q11)
Q 4.0 training and rewards (C-Q12)
Leveraged technology adoption (C-Q13)
Government interventions and policy support (C-Q14)
Knowledge and awareness of Q 4.0 (C-Q15) | nan | nan"
Brazil,Developing,"Automotive Sector, Chemicals, Manufacturing Industry, Medical Manufacturing, Pharmaceuticals, Textile industry, Various",Industry 4.0 in general,not mentioned,No,"High investments:
""High levels of investment are required to implement the I4.0 infrastructure and technologies, and to acquire or develop the skills required to adequately operate a smart factory""

Data security and privacy:
""Low levels of security and privacy are some of the main barriers to I4.0 adoption due to the risks of cyber-attacks... I4.0 technologies employ cloud storage data, and the online integration of various devices can be vulnerable to unauthorised access or cyber-attacks""​

Lack of standards for technologies (System standardisation):
""It is essential to create compatible communication and security standards that can be employed by all interconnected equipment and interfaces between systems... relevant information can be lost or inadequately processed, reducing the efficiency of the I4.0 technologies""​

New employee skills:
""The implementation of I4.0 technologies demands new employee skills and competencies... professionals working in smart factories must have specif | New employee skills
Data security and privacy
High Investments
Lack of infrastructure
System standardisation
Organisational resistance
Job loss
Government and regulations
Uncertainties about the financial results
Quality of data transmission and storage
Lack of digital strategy
Need for knowledge management systems
Need for good internet connections
Challenges of vertical integration
Poor knowledge about technology suppliers | nan | nan"
Developed countries,Developed,Manufacturing Industry,"AI, Big Data, Cloud & Edge Computing, Cybersecurity, IOT & Cyber-physical systems","FINANCE
SKILLS
IT
REGULATORY
IT SECURITY
UNCERTAINTY
INTERNAL

X

Digitalisation and Planning",No,"ii) A lack of skills, including managerial skills; iii) A
lack of information technology infrastructure, such as a high-speed
internet connection; iv) Regulatory obstacles; v) IT security issues; vi)
Uncertainty about future digital standards; and vii) Internal resistance to
change. | nan | nan | nan"
Bangladesh,Developing,Food and beverage manufacturing,Industry 4.0 in general,not mentioned,No,"BR1: Lack of awareness of Industry 4.0
BR2: Lack of infrastructure
BR3: Financial constraints
BR4: Lack of management support
BR5: Lack of government support
BR6: Availability of cheaper labor
BR7: Lack of secure standards and norms
BR8: Low maturity level of preferred technology
BR9: Lack of adequate skills in the workforce
BR10: Job disruptions
BR11: Cybersecurity challenges
BR12: Uncertainty about economic benefits
BR13: Poor value chain integration
BR14: Challenges in data management and data quality
BR15: Lack of training and domain expertise
BR16: Lack of digital strategy alongside resource scarcity
BR17: Lack of stakeholder participation
BR18: Inequality
BR19: Employee resistance to change
BR20: Lack of research and development team | nan | nan | nan"
Germany,Developed,Solar,Digital Twin,,No,"user accep­tance
capabilities of the DMs to analyze and interpret the quantitative results (skills)
knowledge sharing
integrating internal and external data sources | nan | nan | nan"
Canada,Developed,Manufacturing Industry,"Condition Monitoring, IOT & Cyber-physical systems",not mentioned,No,"Interference in metallic environments: “The pilot projects…highlighted the interference caused by radio waves (reflection, diffraction) in metallic environments and the difficulty of identifying tags that are not in the reader’s line of sight”​.
Customized configuration: “The choice of reader location and configuration, as well as the choice of tags, is clearly defined according to the products intended to be located and the operating environment”​
Coverage and blind spots: “This effect can be attenuated by combining two readers…This tactic would also have allowed for better coverage and detection of equipment in the blind spots observed during our pilot projects”.
Initial implementation costs: “While the use of batteryless tags that allow for large-scale deployment with no battery replacement…multiplying the number of readers can involve a significant upstream investment”​
Location accuracy: “In terms of location accuracy, we found that the absolute coordinates returned by the CLAS mi | nan | nan | nan"
Denmark,Developed,Manufacturing Industry,Industry 4.0 in general,"content knowledge, meta-cognitive knowledge",No,"Dimensão:Content Knowledge
Second-order theme: Lack of Understanding

Management & employees
Technology & industry 4.0
Strategy & Value
Second-order theme: Data Handling

Data collection with no use
Low data quality
Lack of data standards
Low utilization of current data & equipment
Outdated software
Manual data processes
Second-order theme: Integration Challenges

Low utilization and outdated technology
Connectivity and communication
Low or no integration capability
External factors for integration
Manual processes
Dimensão: Meta-cognitive Knowledge
Second-order theme: Upskilling and Competence Needs

Lack of integration competences
Digital competences
Low cybersecurity awareness
Lack of competences
Classical operational competences
Second-order theme: Strategic Management Capabilities

External environment
Interest but no strategy
Cautious to change
Need for business case
Management of competences
Change management | nan | nan | nan"
Iran,Developing,"Chemicals, Food and beverage manufacturing, Manufacturing Industry, Mineral wool production, Various",Industry 4.0 in general,"Organizational Challenges, Governmental Challenges, Technological Challenges",No,"*Organizational Challenges
OC1: Absence of management support
Safety problems, poor job performance, absenteeism, and lack of planning affecting management support.

OC2: Absence of organizational labor force management
No health monitoring to manage productivity during COVID-19.

OC3: Difficulty obtaining technical data, testing standards
Lack of government subsidy for tools and equipment affecting technical data availability.

OC4: Absence of virtual skills programs
Includes sudden changes and uncertainties during COVID-19.

OC5: Lack of knowledge sharing/information exchange
Fast execution actions and information integration are challenging.

OC6: Weak organizational culture for sustainable practices
Issues in planning, communication, and leadership affecting sustainable practices.

OC7: Lack of review of HR plans/policies for social sustainability
Absenteeism due to illness impacts sustainability policies. | Lack of employees’ safety and health (OC8):
Imbalanced demand and supply (OC9)
Indeterminate return on investments (sanctions/inﬂation) (OC10)
Weak industrial infrastructures (OC11)
Distrust among workforces (OC12)
“Delay in the supply of mate-rials (OC13)
*Governmental challenges
Lack of support from the government in the form of regulations and policies (GC14)
Reduction in labor (GC15):
Absence of subsidies and incentives (GC16) | *Technological challenges:
Lack of technology (ICT,IOT) to implement SM in manufacturing industries (TC17)
Lack of IT infrastructures (TC18)
High risk of hazards (TC19)
Lack of any prediction about the ﬂow of potential resources (TC20) | nan"
